model,Train Strict Accuracy (%)_mean,Train Strict Accuracy (%)_moe,Train ±1 Grade Accuracy (%)_mean,Train ±1 Grade Accuracy (%)_moe,Val Strict Accuracy (%)_mean,Val Strict Accuracy (%)_moe,Val ±1 Grade Accuracy (%)_mean,Val ±1 Grade Accuracy (%)_moe
adaboost_deepset,46.6432,0.2168328855908428,83.50399999999999,0.26836237375864197,45.218399999999995,0.3440539743378019,82.014,0.29934593867419584
adaboost_deepset_xy,46.5388,0.23552063988225685,83.102,0.23414108246850418,45.0884,0.40628526864860215,81.56360000000001,0.3295951443906646
adaboost_deepset_xy_additive,45.178000000000004,0.24432874818961617,82.1824,0.24233391909431504,43.70840000000001,0.30241262669845503,80.152,0.273985934997802
adaboost_set_transformer,52.571999999999996,0.20774756346801576,84.4008,0.17201460588315295,46.62440000000001,0.3614948035075805,81.3252,0.29504395457590354
adaboost_set_transformer_additive,48.72639999999999,0.35853840831991574,82.9448,0.23083122297199854,45.3636,0.3582392866290905,81.2336,0.27025483533672423
adaboost_set_transformer_xy,52.29240000000001,0.20567064151238718,84.3016,0.1700543872962947,46.2928,0.3554692463051042,81.58760000000001,0.2329228782393123
deepset,45.485600000000005,0.43157870882316546,82.6028,0.6564533415527456,43.10960000000001,0.3665158441594607,80.39920000000001,0.7070420862080338
deepset_xy,45.02,0.4873671143884532,82.3812,0.5627411854922157,42.56320000000001,0.39928431425178973,80.0868,0.5645969459242987
deepset_xy_additive,45.54960000000001,0.49292114307482204,82.4384,0.7141523263831542,43.2988,0.5627172148540718,80.4772,0.7785143925525804
gbm_ensemble_all,80.8524,0.24200851283481856,95.62360000000001,0.11179321415444735,48.843199999999996,0.34628568745130567,83.27680000000001,0.2361870783791366
gbm_ensemble_deepset,64.78680000000001,0.15616553623862392,87.52799999999999,0.10165617080898896,46.5616,0.26460510381629704,80.678,0.1950393240799095
gbm_ensemble_set_transformer,79.388,0.2583613027438122,94.85600000000001,0.12314979083701813,48.7272,0.3152961570360168,83.2556,0.27940765712559107
geometric_mean_ensemble_all,61.962399999999995,0.2915417259616795,89.1788,0.1892469312351741,47.13799999999999,0.2134913272659693,83.2968,0.183705213778003
geometric_mean_ensemble_deepset,45.557199999999995,0.21849892751212338,83.0952,0.36475793372416415,43.4444,0.22455772786858344,80.87480000000001,0.38181216007716673
geometric_mean_ensemble_set_transformer,67.23360000000001,0.29828125788857307,91.50319999999999,0.22942322157168357,47.807599999999994,0.36821222900646716,83.20120000000001,0.29884823566021385
lightgbm_ensemble_all,99.9284,0.009802975021486523,100.0,0.0,48.693999999999996,0.38768893789593,83.15360000000001,0.3111057645087147
lightgbm_ensemble_deepset,94.43039999999999,0.18287927085560743,99.6024,0.026864529055758073,44.943999999999996,0.28812398455358645,79.88680000000001,0.2158944442090202
lightgbm_ensemble_set_transformer,99.82279999999999,0.02163060220225739,100.0,0.0,48.7528,0.3286193187700301,83.1828,0.2426917715818736
median_ensemble_all,53.905199999999994,0.3412328655456596,86.1036,0.2931338592691747,45.3604,0.2219002276605728,82.412,0.2728330264837109
median_ensemble_deepset,45.54240000000001,0.23198219832698933,83.0552,0.3764491382375551,43.334799999999994,0.22170702814545015,80.8236,0.388382133225212
